Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.1062747399821
India,IND,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.1100367487747
India,IND,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.2529520365932
India,IND,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.3577987120546
India,IND,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.6870933048728
India,IND,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.2735572326948
India,IND,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.3352782358364
India,IND,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.863964600756
India,IND,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.6960783853258
India,IND,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.8742144975051
India,IND,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.4804984898335
India,IND,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.8809687369418
India,IND,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.6083666091124
India,IND,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.1096466626337
India,IND,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.3700226386475
India,IND,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.02693935735915
India,IND,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.86839950493363
India,IND,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.71173387814272
India,IND,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.65872044376949
India,IND,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.92651740079469
India,IND,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.22545178748377
India,IND,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.18273310231354
India,IND,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.68555830494625
India,IND,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.7303263503925
India,IND,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.35043707999033
India,IND,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.15458182091963
India,IND,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.04887171235016
India,IND,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.02455545165036
India,IND,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.3380410068357
India,IND,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.38243885842509
India,IND,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.07249558262388
India,IND,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.86437809748369
India,IND,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.88110710178058
India,IND,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.1340778083053
India,IND,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.23981372509588
India,IND,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.20492414058426
India,IND,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.1906570664054
India,IND,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.12485090576307
India,IND,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.19468474076158
India,IND,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.74697396199236
India,IND,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.30300929394079
India,IND,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.1423490963763
India,IND,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.1380796156735
India,IND,1975,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,1.92443614805864
India,IND,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.50727758648186
India,IND,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.91676362830696
India,IND,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.59151565625744
India,IND,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.15233811682676
India,IND,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.49997250269381
India,IND,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.93665043673757
India,IND,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.48826366967171
India,IND,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.5495111235637
India,IND,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.4047544307554
India,IND,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.51598352187056
India,IND,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.38662206959935
India,IND,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.15692868987415
India,IND,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.89744450030843
India,IND,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.78252272690434
India,IND,2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.16197162945168
India,IND,2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.64100113787323
India,IND,2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.0585861215404
India,IND,2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.8901622995922
India,IND,2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,10.8936367351319
India,IND,1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.55603115859763
India,IND,1998,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.3205683798609
India,IND,1997,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.22751558392223
India,IND,1996,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.25760159191527
India,IND,1995,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.4420479920157
India,IND,1994,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.99586357083667
India,IND,1993,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.75393711012536
India,IND,1992,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.98123670989601
India,IND,1991,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.88078192012513
India,IND,1990,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.64674359863157
India,IND,1989,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.65041135374276
India,IND,1988,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.01280185869265
India,IND,1987,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.45027003920798
India,IND,1986,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.65692733101549
India,IND,1985,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.7192813548911
India,IND,1984,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.67986742150246
India,IND,1983,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.37818932877187
India,IND,1982,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.70606368499748
India,IND,1981,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.92754032355709
India,IND,1980,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.26085772326032
India,IND,1979,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.22985907595363
India,IND,1978,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.48694791869121
India,IND,1977,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.9532479713335
India,IND,1976,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.73978001982043
India,IND,1975,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.58310637506876
India,IND,2018,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.90949878823958
India,IND,2017,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.7478590616984
India,IND,2016,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,4.45499468203815
India,IND,2015,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,4.68990275996276
India,IND,2014,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.042174380998
India,IND,2013,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.711798310099
India,IND,2012,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.22890994825081
India,IND,2011,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,6.37621793383904
India,IND,2010,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,6.50442263345847
India,IND,2009,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.52441752413371
India,IND,2008,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.5177914463831
India,IND,2007,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,5.64335819826791
India,IND,2006,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,4.99735631037688
India,IND,2005,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.99412563163662
India,IND,2004,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.10520368900105
India,IND,2003,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.24004805072714
India,IND,2002,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,4.7754973643451
India,IND,2001,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.39213987408731
India,IND,2000,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.19438577468846
India,IND,1999,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.64025319999352
India,IND,1998,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.96826127024528
India,IND,1997,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.51178568459436
India,IND,1996,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.90032700148564
India,IND,1995,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.51209129775591
India,IND,1994,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.40654059798196
India,IND,1993,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.76802153764883
India,IND,1992,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,3.04255617529761
India,IND,1991,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.16497379888302
India,IND,1990,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.66601829680774
India,IND,1989,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.64546279798424
India,IND,1988,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.88273263480618
India,IND,1987,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.57159285779325
India,IND,1986,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.41438636717914
India,IND,1985,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.24573615338835
India,IND,1984,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.33452028194611
India,IND,1983,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.25491400658433
India,IND,1982,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.30710940653153
India,IND,1981,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.34607575518833
India,IND,1980,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.24480361360285
India,IND,1979,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.6245132805382
India,IND,1978,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.80597790065065
India,IND,1977,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.11355702626556
India,IND,1976,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.28175920021598
India,IND,1975,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,2.47435895000041
India,IND,2018,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,50.0455743749076
India,IND,2017,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,48.7798571303328
India,IND,2016,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,49.1948196832178
India,IND,2015,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,51.8675240772049
India,IND,2014,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,51.8821873589628
India,IND,2013,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,52.385709516972
India,IND,2012,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,51.8885076473464
India,IND,2011,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,51.2892196964607
India,IND,2010,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,50.5553749785886
India,IND,2009,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,48.1244479114314
India,IND,2008,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,49.559366687116
India,IND,2007,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,45.627764745807
India,IND,2006,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,43.6277524332218
India,IND,2005,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,40.0679804782779
India,IND,2004,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,36.1918038545968
India,IND,2003,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,31.6262656187623
India,IND,2002,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,32.306489073813
India,IND,2001,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,28.6194154254102
India,IND,2000,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,28.339551157121
India,IND,1999,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,25.4228622073471
India,IND,1998,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.6777468577409
India,IND,1997,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.5553253456166
India,IND,1996,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.4024420368578
India,IND,1995,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,22.5107747019848
India,IND,1994,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.6473414039551
India,IND,1993,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.8320553867162
